上海频道,#genre#
都市剧场,http://112.46.105.20:8009/hls/72/index.m3u8
都市剧场,https://satellitepull.cnr.cn/live/wxcqxwgb/playlist.m3u8
上海第一财经,https://satellitepull.cnr.cn/live/wx32dycjgb/playlist.m3u8
上海第一财经,http://gslbmgsplive.miguvideo.com/wd_r1/2018/bestv/dycj/1000/index.m3u8?msisdn=202512052003541301a28fb79448999ddb248b6c4a0766&mdspid=&spid=699212&netType=0&sid=2201008312&pid=2028597139&timestamp=20251205200354&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=608780988&ParentNodeID=-99&assertID=2201008312&client_ip=218.28.233.106&SecurityKey=20251205200354&promotionId=&mvid=2201008312&mcid=500020&playurlVersion=WX-A1-8.11.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=3a6ad8ba29d12f70bcc036f874297c2d&ddCalcu=d32avc6a7al9da284b7a82f96d3102cfc7b0&sv=10004&ct=android
第一财经,http://ls.qingting.fm/live/276.m3u8
上海新闻综合,http://gslbmgsplive.miguvideo.com/wd_r4/dfl/xinwenzonghehd/600/index.m3u8?msisdn=20251205200352c80393ec7aff4a7fb88cffa5249d9ac7&mdspid=&spid=699212&netType=0&sid=5500002275&pid=2028597139&timestamp=20251205200352&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=651632657&ParentNodeID=-99&assertID=5500002275&client_ip=218.28.233.106&SecurityKey=20251205200352&promotionId=&mvid=5100001716&mcid=500020&playurlVersion=WX-A1-8.11.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=ebf3d64ae69a571d11dba80bd3f761c8&ddCalcu=8ecbv1fa63w7daf634dabe0689aab5d7111d&sv=10004&ct=android
全纪实,http://183.215.134.239:19901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
哈哈炫动,http://120.238.94.10:9901/tsfile/live/1037_1.m3u8
上海第一财经,https://mgtv.ottiptv.cc/mg/608780988.m3u8?userid=5559462299&sign=45ccff9439330cb7ffd010bef88dd836354c90dbde246b702754196fc3f07aeeecb465a835239da7d18c44e11f852d729b76a369866ebffee129aaa0120beeaf8bc50cb5bb3084a5fa02cab673fa90b225&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
上海新闻综合,https://mgtv.ottiptv.cc/mg/651632657.m3u8?userid=5559462299&sign=41fbf32d352773f20815026d37df8a0edb484f4704d5a2f29dd7c0c6537b785919133a7124006a17bcf8f522d104262ea8d86c7922ce691f696e3755e3fdbca849a56c6628a27fb39f423975a542546d69&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
新闻综合,https://m3u8channel.yunxya.com/nmip-media/channellive/channel100028/playlist.m3u8
