影视轮播频道,#genre#
AMC电影,http://61.221.215.25:8800/hls/43/index.m3u8
安徽影视,http://112.27.235.94:8000/hls/24/index.m3u8
哈尔滨影视,http://111.43.126.240:9003/hls/5/index.m3u8
CHC电影,http://183.237.95.108:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
广东影视,http://119.32.12.17:2901/udp/224.1.100.11:11111
辽宁影视剧,http://120.76.248.139/live/bfgd/4200000070.m3u8
IPTV经典电影,http://43.138.0.72:35455/yy/1382754187
龙华电影,http://iptv.4666888.xyz/iptv2A.php?id=45
江苏影视,https://mgtv.ottiptv.cc/mg/626064697.m3u8?userid=5559462299&sign=d801458e342359cd9485a11b310fef91e4ac52835d6c992114d149c5114d0b9a48a28a54d85440d22df2f88f353fe14707d2ab6da8390565ed8caec12d7569a6eef91bcb9d9f84d9db7165fb4c2de7f7e0&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
邵氏影院,https://live.ottiptv.cc/douyu/4246519
