更新时间,#genre#
2026-04-23 07:48:37,url
央视频道,#genre#:
CCTV2,http://183.165.195.249:7000/udp/238.1.78.235:7752
CCTV3,http://183.165.195.249:7000/udp/238.1.78.170:7232
CCTV5,http://183.165.195.249:7000/udp/238.1.78.171:7240
CCTV5+,http://183.165.195.249:7000/udp/238.1.78.237:7768

卫视频道,#genre#:
三沙卫视,http://183.165.195.249:7000/udp/238.1.78.27:6144
四川卫视,http://183.165.195.249:7000/udp/238.1.78.71:6440$标清
宁夏卫视,http://183.165.195.249:7000/udp/238.1.78.109:6744
江苏卫视,http://183.165.195.249:7000/udp/238.1.78.165:7192
浙江卫视,http://183.165.195.249:7000/udp/238.1.78.164:7184
浙江卫视,http://183.165.195.249:7000/udp/238.1.78.65:6392$标清
湖北卫视,http://183.165.195.249:7000/udp/238.1.78.94:6624$标清
西藏卫视,http://183.165.195.249:7000/udp/238.1.78.101:6680
辽宁卫视,http://183.165.195.249:7000/udp/238.1.78.21:6096
重庆卫视,http://183.165.195.249:7000/udp/238.1.78.31:6176
重庆卫视,http://183.165.195.249:7000/udp/238.1.78.72:6448$标清

安徽频道,#genre#:
上海乐游纪实,http://183.165.195.249:7000/udp/238.1.78.151:7080
义安新闻综合,http://183.165.195.249:7000/udp/238.1.78.211:7560
亳州农村频道,http://183.165.195.249:7000/udp/238.1.78.129:6904
六安社会生活,http://183.165.195.249:7000/udp/238.1.78.145:7032
合肥新闻频道,http://183.165.195.249:7000/udp/238.1.78.111:6760
安徽公共频道,http://183.165.195.249:7000/udp/238.1.79.43:4456
安徽农业科教,http://183.165.195.249:7000/udp/238.1.79.40:4432
安徽国际频道,http://183.165.195.249:7000/udp/238.1.78.61:6360
安徽影视频道,http://183.165.195.249:7000/udp/238.1.79.42:4448
寿县新闻综合,http://183.165.195.249:7000/udp/238.1.78.146:7040
旌德新闻综合,http://183.165.195.249:7000/udp/238.1.78.215:7592
无为新闻频道,http://183.165.195.249:7000/udp/238.1.78.188:7376
桐城综合频道,http://183.165.195.249:7000/udp/238.1.78.28:6152
泗县新闻频道,http://183.165.195.249:7000/udp/238.1.78.193:7416
淮北新闻综合,http://183.165.195.249:7000/udp/238.1.78.135:6952
淮北经济生活,http://183.165.195.249:7000/udp/238.1.78.136:6960
淮南新闻综合,http://183.165.195.249:7000/udp/238.1.78.113:6776
淮南民生频道,http://183.165.195.249:7000/udp/238.1.78.114:6784
湾沚综合频道,http://183.165.195.249:7000/udp/238.1.78.187:7368
滁州新闻综合,http://183.165.195.249:7000/udp/238.1.78.132:6928
繁昌新闻综合,http://183.165.195.249:7000/udp/238.1.78.190:7392
芜湖新闻综合,http://183.165.195.249:7000/udp/238.1.78.112:6768
芜湖生活频道,http://183.165.195.249:7000/udp/238.1.78.80:6512
蒙城新闻频道,http://183.165.195.249:7000/udp/238.1.79.19:4264
蚌埠生活频道,http://183.165.195.249:7000/udp/238.1.78.181:7320
阜南新闻综合,http://183.165.195.249:7000/udp/238.1.79.11:4200
阜阳新闻综合,http://183.165.195.249:7000/udp/238.1.78.124:6864
阜阳生活频道,http://183.165.195.249:7000/udp/238.1.78.125:6872
黄山文旅频道,http://183.165.195.249:7000/udp/238.1.78.131:6920
黄山新闻综合,http://183.165.195.249:7000/udp/238.1.78.130:6912

其他频道,#genre#:
IPTV收视指南,http://183.165.195.249:7000/udp/238.1.78.8:7968
IPTV法治,http://183.165.195.249:7000/udp/238.1.78.5:7944
IPTV热播剧场,http://183.165.195.249:7000/udp/238.1.78.9:7976
IPTV相声小品,http://183.165.195.249:7000/udp/238.1.78.3:7928
上海东方财经,http://183.165.195.249:7000/udp/238.1.78.73:6456
好学生,http://183.165.195.249:7000/udp/238.1.78.18:4048
文化精品,http://183.165.195.249:7000/udp/238.1.79.54:4568
空中课堂,http://183.165.195.249:7000/udp/238.1.78.107:6728
第一剧场,http://183.165.195.249:7000/udp/238.1.79.63:4640
音乐现场,http://183.165.195.249:7000/udp/238.1.78.15:4024
风云足球,http://183.165.195.249:7000/udp/238.1.79.57:4592
风云音乐,http://183.165.195.249:7000/udp/238.1.79.64:4648


404: Not Found
