# 北京市电信 IP速度测试结果 - 有效IP 8/22
# 测试时间: 2026-02-09 02:51:33
# IP:端口 速度 连接时间(ms)
49.232.181.26:6000 529.4KB/s (ping:213ms)
115.171.216.84:4000 316.2KB/s (ping:217ms)
123.249.111.29:7272 236.1KB/s (ping:213ms)
123.249.27.48:3689 202.0KB/s (ping:234ms)
1.94.199.208:14265 201.2KB/s (ping:212ms)
1.94.247.117:8040 194.0KB/s (ping:233ms)
113.44.198.31:2082 183.8KB/s (ping:217ms)
1.92.111.226:7003 183.7KB/s (ping:220ms)

# 失败统计 (14个):
# 222.129.32.179:6666 - 链接错误
# 111.196.130.16:8686 - HTTP错误
# 125.33.250.216:55555 - 不可用
# 114.250.22.113:55555 - 不可用
# 111.199.196.252:4022 - 不可用
# 111.193.239.94:8888 - 不可用
# 114.243.101.78:8888 - 不可用
# 114.243.98.200:8888 - 链接超时
# 123.118.13.10:4022 - 链接超时
# 123.114.62.187:8000 - 不可用
# 111.192.226.101:4022 - 链接超时
# 123.112.211.241:4022 - 链接错误
# 123.118.61.20:8686 - 链接超时
# 114.240.41.106:8888 - 链接超时
