# 四川电信 IP速度测试结果 - 有效IP 8/15
# 测试时间: 2025-12-11 02:11:23
# IP:端口 速度 连接时间(ms)
175.152.138.162:6066 490.2KB/s (ping:204ms)
110.184.144.31:6066 435.2KB/s (ping:245ms)
171.213.160.101:8060 393.8KB/s (ping:243ms)
171.213.169.59:4022 380.0KB/s (ping:237ms)
171.213.154.229:82 122.0KB/s (ping:249ms)
171.213.237.24:8088 121.0KB/s (ping:238ms)
171.213.244.38:4022 90.0KB/s (ping:241ms)
171.213.152.187:8000 12.1KB/s (ping:237ms)

# 失败统计 (7个):
# 171.213.203.49:4022 - 不可用
# 118.121.190.29:4022 - 链接超时
# 171.213.222.46:4022 - 链接超时
# 171.213.166.65:5555 - 链接超时
# 171.213.237.31:8888 - 链接超时
# 171.213.201.143:4022 - 链接超时
# 171.95.22.59:8000 - 链接超时
