# 江苏电信 IP速度测试结果 - 有效IP 7/18
# 测试时间: 2026-03-30 03:24:53
# IP:端口 速度 连接时间(ms)
222.184.137.30:8888 420.1KB/s (ping:282ms)
49.77.20.134:8118 411.8KB/s (ping:262ms)
218.91.101.235:8800 403.4KB/s (ping:285ms)
114.231.22.227:55555 400.7KB/s (ping:282ms)
117.86.82.202:8000 385.4KB/s (ping:282ms)
121.230.35.128:8000 375.1KB/s (ping:267ms)
222.95.12.2:4022 366.6KB/s (ping:258ms)

# 失败统计 (11个):
# 117.91.149.135:9000 - 链接错误
# 58.214.189.147:3838 - 链接超时
# 58.214.189.147:84 - 链接超时
# 58.214.189.147:994 - 链接超时
# 58.214.189.147:8089 - 链接超时
# 58.214.189.147:21 - 链接超时
# 114.231.203.89:8800 - 链接错误
# 58.214.189.147:6346 - 链接超时
# 58.214.189.147:3841 - 链接超时
# 58.214.189.147:6668 - 链接超时
# 58.214.189.147:789 - 链接超时
